รหัสวิชา,ชื่อรายวิชา,Credit,หน่วยกิต,หมวดวิชา,คำอธิบายรายวิชาภาษาไทย,คำอธิบายรายวิชาภาษาอังกฤษ,
GE-010-001,ภาษาอังกฤษง่ายนิดเดียว (English is easy),3,3(3-0-6),ศึกษาทั่วไป (พื้นฐาน),คำศัพท์ วลีและโครงสร้างประโยคภาษาอังกฤษเพื่อการสื่อสารในชีวิตประจำวัน ทักษะการฟังและสนทนาประโยคภาษาอังกฤษในสถานการณ์ต่าง ๆ และอ่าน ข้อความหรือเนื้อหาสั้น ๆ ที่น่าสนใจ,"Vocabulary, phrases, and sentence structures of English for communicating in daily life; listening and conversational skills through common English sentences used in various situations; and reading short, interesting texts of varying text types   ",
GE-010-002,ภาษาอังกฤษฟุดฟิดฟอฟัน (English is fun),3,3(3-0-6),ศึกษาทั่วไป (พื้นฐาน),การสื่อสารและใช้ภาษาอังกฤษในบริบทต่าง ๆ คำศัพท์ ประโยค ไวยากรณ์และ สำนวนภาษาอังกฤษในสังคมพหุวัฒนธรรม การฟัง การเขียนและโต้ตอบในบริบท การท่องเที่ยว เดินทาง และเพื่อนต่างวัฒนธรรม,"Using English to communicate in various contexts; vocabulary, grammatical structures of English sentences and idioms commonly used in multicultural social settings; listening, writing, and interacting with other people from different cultures in a variety of travel-and- tourism situations   ",
GE-010-003,ดิจิทัลกับชีวิตวิถีใหม่ (Digital Technology of New Normal),3,3(2-2-5),ศึกษาทั่วไป (พื้นฐาน),เทคโนโลยีดิจิทัล คอมพิวเตอร์ ออนไลน์ Word processing Presentation Spreadsheet Excel การใช้งานโปรแกรมประยุกต์สำหรับสำนักงาน กฎหมาย เกี่ยวกับดิจิทัล,"Digital technology studies including online computer applications; word processing, presentation tools, and spreadsheet, office application skills, and cybercrime laws   ",
GE-010-004,คุณค่ามหาวิทยาลัยกาฬสินธุ์ (Value of Kalasin University),3,3(2-2-5),ศึกษาทั่วไป (พื้นฐาน),ความสำคัญของค่านิยมและวัฒนธรรมองค์กรในระดับหน่วยงาน สังคม และ ประเทศ ผลงานทางวิชาการของมหาวิทยาลัย จัดกิจกรรมทางวิชาการ การจัดการ ทรัพยากร และผู้ประกอบการเพื่อการพัฒนาท้องถิ่น,"The importance of value and cooperate culture of departments, social and nation, published academic works of Kalasin University, academic activities management, and community servicing   ",
GE-010-005,ชีวิตออกแบบได้ (Ideal Life),3,3(3-0-6),ศึกษาทั่วไป (พื้นฐาน),ปัจจัยและความสำคัญของแรงบันดาลใจในการใช้ชีวิต เทคนิคและวิธีคิดของผู้ ประสบความสำเร็จ เรียนรู้สถานการณ์ต่าง ๆ ด้วยตนเอง วิเคราะห์และวางแผน เป้าหมายชีวิต การสร้างความสัมพันธ์ระหว่างบุคคล การแสดงลักษณะท่าทาง การวางตัว การมีมนุษยสัมพันธ์,"Importance and factors of life inspiration, concepts and ideas of very successful people, self-learning through different real-life situations, analyzing and planning life goals, socializing, manners, and interpersonal skills   ",
GE-010-006,ปรัชญามนุษย์ สังคมและเศรษฐศาสตร์ (Human philosophy society and economics),3,3(3-0-6),ศึกษาทั่วไป (พื้นฐาน),สภาพแวดล้อมทางสังคม เศรษฐกิจ และการเมือง การปกครองทั้งภายในและ ภายนอกประเทศ หลักการบริหาร หลักกฎหมายเบื้องต้น วิเคราะห์ปัญหาด้าน จริยธรรมทางเศรษฐกิจระดับบุคคล ระดับองค์กร ระดับประเทศและระดับโลกที่ เกิดขึ้นในสังคมปัจจุบัน อุปสงค์ อุปทาน ทฤษฎีพฤติกรรมผู้บริโภค การบริโภค การออมและการลงทุน ปัญหาเงินเฟ้อ เงินฝืด การว่างงาน และปรัชญาเศรษฐกิจ พอเพียง,"Social, economic, and political environment; inside and outside Thailand; administrative principles; principle of basic law; economic ethics issues at the individual level, organizational level, national and global levels emerging in today's society; demand; supply; consumer behavior theory; consumption; savings and investment; inflation, deflation, and unemployment problems, sufficiency economy philosophy   ",
GE-020-003,ภาษาไทยเชิงสร้างสรรค์ (Practical Thai for communication),3,3(3-0-6),ศึกษาทั่วไป (เลือก),การพูดในที่สาธารณะ การพูดเพื่อสร้างแรงบันดาลใจ การนำเสนอเชิงวิชาการ การนำเสนอเพื่อสร้างความสนใจ การอ่านและการฟังเพื่อจับใจความ และการเขียน เพื่อนำเสนอตนเอง,"Public speaking, inspiration talks, practical academic presentations, comprehensive reading and listening, and autobiography writing   ",
GE-020-008,การพัฒนาธุรกิจในสังคมดิจิทัล (Entrepreneur Studies),3,3(3-0-6),ศึกษาทั่วไป (เลือก),หลักการเป็นผู้ประกอบการ การบริหารทรัพยากร เวลา การเงิน การบัญชีและ ระบบการขนส่งเบื้องต้น ดิจิทัลมาร์เก็ตติ้ง การสร้างเนื้อหาที่น่าสนใจเพื่อการตลาด การวางแผนการเงิน,"Entrepreneur studies, resources, time, and money management, accounting skills, basic logistic system, digital marketing, and effective marketing content creation, and money budgeting   ",
SC-061-103,แคลคูลัสสำหรับวิศวกรรม 1,3,3(3-0-6),วิชาแกน,พีชคณิตเวกเตอร์ในสามมิติ ฟังก์ชัน ลิมิตและความต่อเนื่อง อนุพันธ์ การประยุกต์ของอนุพันธ์และรูปแบบยังไม่กำหนด ปริพันธ์ไม่จำกัดเขต เทคนิคของการหาปริพันธ์ ปริพันธ์จำกัดเขตและการประยุกต์,,
SC-061-104,แคลคูลัสสำหรับวิศวกรรม 2,3,3(3-0-6),วิชาแกน,พิกัดเชิงขั้วและสมการอ้างอิงตัวแปรเสริม เส้นระนาบ และผิวในปริภูมิสามมิติ แคลคูลัสของฟังก์ชันค่าจริงของสองตัวแปรและการประยุกต์ การประยุกต์อนุพันธ์ย่อยและปริพันธ์สองชั้น แคลคูลัสของฟังก์ชันค่าจริงของหลายตัวแปรและการประยุกต์,,
EN-001-001,เขียนแบบวิศวกรรม,3,3(2-3-6),วิชาแกน,พื้นฐานงานเขียนแบบ การเขียนตัวอักษร การฉายภาพออโธกราฟฟิกส์ การเขียนภาพฉายออโธกราฟฟิกส์ การกำหนดขนาดและค่าพิกัดความเผื่อ ภาพตัดแบบต่างๆ ภาพช่วยและแผ่นคลี่ การเขียนภาพร่างด้วยมือเปล่า การเขียนภาพประกอบและภาพแยกชิ้น การเขียนแบบงานด้วยคอมพิวเตอร์ ปฏิบัติการเขียนแบบสอดคล้องและครอบคลุมเนื้อหาทางด้านทฤษฎี,,
EN-001-002,การโปรแกรมคอมพิวเตอร์,3,3(2-3-6),วิชาแกน,แนวคิดและองค์ประกอบของระบบคอมพิวเตอร์ การอันตรกิริยาระหว่างฮาร์ดแวร์และซอฟต์แวร์ การเขียนโปรแกรมด้วยภาษาที่เป็นปัจจุบัน ปฏิบัติการเขียนโปรแกรม,,
EN-001-006,วิศวกรรมไฟฟ้าพื้นฐาน,3,3(2-3-6),วิชาแกน,การวิเคราะห์วงจรไฟฟ้ากระแสตรงและไฟฟ้ากระแสสลับเบื้องต้น แรงดันไฟฟ้า กระแสไฟฟ้าและกำลังไฟฟ้า หม้อแปลงไฟฟ้า พื้นฐานเครื่องจักรกลไฟฟ้า เครื่องกำเนิดไฟฟ้า มอเตอร์ไฟฟ้า และการประยุกต์ใช้งาน หลักการของระบบไฟฟ้ากำลัง 3 เฟส วิธีการส่งจ่ายกำลังไฟฟ้า พื้นฐานเครื่องมือวัดไฟฟ้า ปฏิบัติการวิศวกรรมไฟฟ้ามูลฐานสอดคล้องและครอบคลุมเนื้อหาทางด้านทฤษฎี,,
EN-001-007,ความน่าจะเป็นและสถิติวิศวกรรม,3,3(3-0-6),วิชาแกน,การนำเสนอข้อมูลและการวิเคราะห์ข้อมูล ทฤษฎีความน่าจะเป็น ตัวแปรสุ่มและการแจกแจงความน่าจะเป็น การอนุมานเชิงสถิติ การทดสอบสมมติฐาน การวิเคราะห์ความแปรปรวน การวิเคราะห์สมการถดถอยและสหสัมพันธ์ การใช้วิธีทางสถิติเป็นเครื่องมือในการแก้ปัญหา,,
EN-001-016,ระบบควบคุมอัตโนมัติ,3,3(2-2-5),วิชาแกน,แนะนำการควบคุมในอุตสาหกรรม เซ็นเซอร์และทรานสดิวเซอร์ ตัวควบคุมแอนะล็อก ตัวควบคุมดิจิทัล การควบคุมแบบลำดับ ตัวควบคุมแบบใช้โปรแกรมได้ (PLC) การโปรแกรมตัวควบคุมแบบโปรแกรมได้ การต่อเชื่อมของตัวควบคุมแบบโปรแกรมได้ การประยุกต์ใช้ตัวควบคุมแบบโปรแกรมได้ในระบบอัตโนมัติ,,
EN-001-017,วิศวกรรมหุ่นยนต์เบื้องต้น,3,3(2-2-5),วิชาแกน,วิทยาการของหุ่นยนต์ขั้นแนะนำ โครงสร้างของระบบหุ่นยนต์ ศึกษาและปฏิบัติการทางด้านหุ่นยนต์ ควบคุมหุ่นยนต์ ระบบพิกัดหุ่นยนต์ จลนศาสตร์ของหุ่นยนต์ ตัวขับเคลื่อนของหุ่นยนต์ พื้นฐานด้านอิเล็กทรอนิกส์สำหรับหุ่นยนต์ ตัวรับรู้ของหุ่นยนต์ แบบจำลองคอมพิวเตอร์กราฟิกสำหรับหุ่นยนต์ หุ่นยนต์ ระบบสื่อสาร และควบคุมของหุ่นยนต์,,
EN-001-018,ปฏิบัติการการออกแบบวงจรอิเล็กทรอนิกส์ด้วยคอมพิวเตอร์,1,1(0-3-2),วิชาแกน,ปฏิบัติการใช้งานโปรแกรมคอมพิวเตอร์ช่วยออกแบบ เขียนแบบวงจรอิเล็กทรอนิกส์และลายวงจรพิมพ์ การใช้โปรแกรมในการจำลองการทำงานของวงจร ออกแบบและทดลองวงจรอิเล็กทรอนิกส์,,
EN-001-019,แก่นวิศวกรรมคอมพิวเตอร์,3,3(2-2-5),วิชาแกน,ภาพรวมของวิศวกรรมคอมพิวเตอร์ ระบบสารสนเทศ และเทคโนโลยีสารสนเทศ ฮาร์ดแวร์และซอฟต์แวร์ วงจรตรรกและหน่วยประมวลผล อัลกอริทึมและโปรแกรม ฐานข้อมูล เครือข่ายคอมพิวเตอร์และอินเตอร์เน็ต ปัญญาประดิษฐ์และหุ่นยนต์ ระบบฝังตัว ศูนย์ข้อมูล ความปลอดภัย จริยธรรมทางคอมพิวเตอร์ ทรัพย์สินทางปัญญา การดูงานเชิงวิชาการอุตสาหกรรมคอมพิวเตอร์,,
EN-001-020,การเขียนโปรแกรมและแก้ปัญหา,2,2(1-2-3),วิชาแกน,การเขียนโปรแกรมดำเนินการทางคณิตศาสตร์ ตรรกศาสตร์ เซ็ต เรขาคณิต เวกเตอร์ เมทริกซ์ และปัญหาเกี่ยวกับความน่าจะเป็น การโปรแกรมคอมพิวเตอร์เพื่อนำความรู้เบื้องต้นและประยุกต์ใช้ในแก้ปัญหาโจทย์งาน วิทยาศาสตร์ข้อมูล หุ่นยนต์เคลื่อนที่และระบบอัตโนมัติในอินเตอร์เน็ตของสรรพสิ่ง,,
EN-012-314,ปัญญาประดิษฐ์,3,3(2-2-5),วิชาเฉพาะด้าน,แนะนำความรู้เบื้องต้นปัญญาประดิษฐ์ แนวทางในการแทนความรู้ รวมทั้งเฟรม สคริปต์ กฎ และลอจิก เทคนิคเชิงปัญญาประดิษฐ์ ได้แก่ วิธีการค้นหาแบบตาบอด ลอจิก และระบบที่ใช้กฎ โครงข่ายประสาทเทียม เจเนอริคทาสก์ แนะนำถึงปัญหาที่ตรวจสอบ การเรียนรู้ของเครื่องจักร เอเจนต์ที่ใช้ฐานความรู้ ความเข้าใจภาษาธรรมชาติ การรับรู้ของคอมพิวเตอร์ การวางแผน และการเล่นเกม,,
EN-012-316,วิทยาการข้อมูลและการแสดงผลข้อมูล,3,3(2-2-5),วิชาเฉพาะด้าน,การจัดเตรียมข้อมูล การแสดงข้อมูลกราฟสำหรับการวิเคราะห์ การวิเคราะห์ข้อมูลเบื้องต้นเกี่ยวกับข้อมูลขนาดใหญ่และวิทยาการข้อมูล,,
EN-012-209,การเขียนโปรแกรมคอมพิวเตอร์ขั้นสูง,3,3(2-3-6),วิชาเฉพาะด้าน,วิธีวิทยาการทำโปรแกรม การทำโปรแกรมเชิงวัตถุ การทำโปรแกรมแบบทำตามเหตุการณ์ การทำโปรแกรมแบบภาวะพร้อมกัน การจัดการข้อผิดพลาดและข้อยกเว้น ส่วนต่อประสานสำหรับโปรแกรมประยุกต์ (เอพีไอ) เครื่องมือการทำโปรแกรม รูปแบบ และปฏิบัติการทำโปรแกรม,,
EN-012-313,ระบบฐานข้อมูล,3,3(2-3-6),วิชาเฉพาะด้าน,แนวคิดของระบบฐานข้อมูล แฟ้มข้อมูลและฐานข้อมูล สถาปัตยกรรมของระบบฐานข้อมูล หน่วยข้อมูลและความสัมพันธ์ของหน่วยข้อมูล การออกแบบฐานข้อมูลด้วยวิธีแผนภาพอีอาร์ การออกแบบฐานข้อมูลด้วยวิธีนอร์มัลไลเซชัน โครงสร้างฐานข้อมูลด้วยวิธีนอร์มัลไลเซชัน โครงสร้างฐานข้อมูลแบบลำดับชั้น แบบเครือข่ายและแบบเชิงสัมพันธ์ ภาษาฐานข้อมูลและภาษาเรียกค้นหา โครงสร้างฐานข้อมูลที่ไม่ใช้เอสคิวแอล ฐานข้อมูลแบบกระจาย กรณีศึกษาในการใช้ฐานข้อมูล,,
EN-012-315,วิศวกรรมซอฟต์แวร์,3,3(2-2-5),วิชาเฉพาะด้าน,ศึกษาสาระสำคัญในวิชาวิศวกรรมซอฟต์แวร์ วิธีการพัฒนาความต้องการ และข้อกำหนดของซอฟต์แวร์ วิธีการออกแบบซอฟต์แวร์แบบดั้งเดิม และแบบเชิงอ็อบเจกต์ การตรวจสอบซอฟต์แวร์เทียบกับความต้องการ และเทียบกับข้อกำหนด การยืนยันความถูกต้องของซอฟต์แวร์ การทดสอบซอฟต์แวร์ ซอฟต์แวร์เมตริกซ์ การรับรองคุณภาพ การบริหารโครงงานและโครงสร้างทีม ตลอดจนการบำรุงรักษาซอฟต์แวร์ และเครื่องมือที่ช่วยในงานวิศวกรรมซอฟต์แวร์,,
EN-012-101,คณิตศาสตร์ดิสครีต,3,3(3-0-6),วิชาเฉพาะด้าน,เซตและความสัมพันธ์ ฟังก์ชัน ตรรกที่มีวลีบอกปริมาณและตรรกประยุกต์ การพิสูจน์แบบคณิตศาสตร์ อินดักชันและรีเคอร์ชัน ขั้นตอนวิธีและความซับซ้อน กราฟ พาธ วงจรและต้นไม้ โครงร่างพีชคณิตแบบจำลองทางคณิตศาสตร์ของคอมพิวเตอร์,,
EN-012-103,การสื่อสารข้อมูลและเครือข่ายคอมพิวเตอร์,3,3(2-3-6),วิชาเฉพาะด้าน,ศึกษาและปฏิบัติการเกี่ยวกับการทำงานเครือข่ายคอมพิวเตอร์ ศึกษาแบบอ้างอิงสำหรับเครือข่ายคอมพิวเตอร์ แบบอ้างอิงโอเอสไอ แบบอ้างอิงทีซีพี/ไอพี การทำงานอุปกรณ์เชื่อมต่อเครือข่าย หลักการในการออกแบบ การคำนวณหมายเลขไอพี และปรับแต่งระบบเครือข่ายคอมพิวเตอร์ กลไกลการหาเส้นทางของโปรโตคอล IP และระบบการรักษาความมั่นคงระบบเครือข่ายคอมพิวเตอร์,,
EN-012-205,โครงสร้างข้อมูลและอัลกอริทึม,3,3(2-3-6),วิชาเฉพาะด้าน,โครงสร้างข้อมูลขั้นพื้นฐานและการกระทำที่เกี่ยวข้อง อาเรย์ สแตก คิว ลิสต์ ตาราง ต้นไม้ และ กราฟ ชนิดข้อมูลนามธรรมในภาษาชั้นสูง อัลกอริทึมแบบเรียกตัวเองและแบบทำซ้ำ อัลกอริทึมการเรียงลำดับและการค้นหา และความซับซ้อนของแต่ละวิธี,,
EN-012-208,ระบบปฏิบัติการและโปรแกรมระบบ,3,3(2-2-5),วิชาเฉพาะด้าน,บริการของระบบปฏิบัติการ หน้าที่ การจัดโครงสร้าง กระบวนการ แนวคิดการภาวะพร้อมกัน การจัดจังหวะ บริเวณวิกฤต เซมาฟอร์มอนิเตอร์ ภาวะติดตาย การจัดการหน่วยประมวลผล การจัดการหน่วยความจำ การจัดอุปกรณ์ การจัดการแฟ้มข้อมูล การป้องกันทรัพยากรเครือข่าย ส่วนต่อประสานสำหรับบริการ ฟังก์ชันเรียกใช้งานระบบ ส่วนต่อประสานสำหรับโปรแกรมประยุกต์ (เอพีไอ) เครื่องมือและโปรแกรมอรรถประโยชน์เครื่องมือสำหรับจัดหาระบบ เครื่องมือสำหรับพัฒนาโปรแกรม เครื่องมือสำหรับปฏิบัติงาน,,
EN-012-102,อิเล็กทรอนิกส์สำหรับวิศวกรรมคอมพิวเตอร์,3,3(2-3-6),วิชาเฉพาะด้าน,พื้นฐานของวงจรไฟฟ้า กฎของโอห์ม กฎของเคอร์ซอฟ โครงสร้างวงจรแบบโหนดและแบบลูป ทฤษฎีเทวินิน ทฤษฎีนอร์ตัน และซุปเปอร์โพซิชั่น ตัวเก็บประจุตัวเหนี่ยวนำ อุปกรณ์สารกึ่งตัวนำ คุณสมบัติทางกระแส-แรงดันและความถี่ของอุปกรณ์อิเล็กทรอนิกส์ทฤษฎีรอยต่อพีเอ็นเบื้องต้น วงจรไดโอด การวิเคราะห์และออกแบบวงจรทรานซิสเตอร์ชนิด BJT และ MOS การวิเคราะห์วงจรออปแอมป์และการประยุกต์ใช้งาน,,
EN-012-206,สถาปัตยกรรมและโครงสร้างคอมพิวเตอร์,3,3(3-0-6),วิชาเฉพาะด้าน,ประวัติและภาพรวม สถาปัตยกรรมชุดคำสั่ง การวัดประสิทธิภาพ คณิตศาสตร์เชิงคอมพิวเตอร์ โครงสร้างและการจัดการหน่วยประมวลผลกลาง การจัดการระบบหน่วยความจำและสถาปัตยกรรมหน่วยความจำ การเชื่อมต่อและการสื่อสารของอินพุต/เอาต์พุต ระบบย่อยของอุปกรณ์ต่อพ่วง สถาปัตยกรรมแบบหลายแกน สถาปัตยกรรมระบบแบบกระจาย,,
EN-012-207,ตรรกศาสตร์ของดิจิตอลคอมพิวเตอร์,3,3(2-3-6),วิชาเฉพาะด้าน,ระบบตัวเลข เกตเชิงตรรก และนิพจน์ตรรก พืชคณิตแบบบูล ผังคาร์โนห์ วิธีการใช้ตาราง วงจรตรรกแบบรวมและการใช้งาน วงจรบวก วงจรลบ วงจรแสดงผลพหุคูณ วงจรถอดรหัส วงจรลงรหัส มัลติเพล็กเซอร์ ดีมัลติเพล็กเซอร์ การใช้งานของเกตไตรสเตด ความเร็วและเวลาของวงจรเชิงตรรก วงจรเชิงลำดับ และการออกแบบ ฟลิปฟลอป เคาเตอร์ เรจิสเตอร์,,
EN-012-210,ระบบสมองกลฝังตัว,3,3(2-3-6),วิชาเฉพาะด้าน,พื้นฐานของระบบฝังตัวและเฟิร์มแวร์ ระบบประมวลผลแบบเวลาจริง ระบบควบคุมป้อนกลับ โพรโทคอลการสื่อสาร ตรรกะทรานซิสเตอร์ วงจรระบบความจำ กลุ่มของการเชื่อมต่อทางตรรกะ มาตรฐานการส่งข้อมูล สัญญาณขัดจังหวะ การเข้าถึงหน่วยความจำโดยตรง,,
EN-012-104,การสัมมนาทางวิศวกรรมคอมพิวเตอร์,1,1(0-3-2),โครงงานและสัมมนา,ศึกษา วางแผนและตัดสินใจเลือกงานการบริการสังคมต้นแบบภายในประเทศหรือต่างประเทศที่เกี่ยวข้องกับการผลิตนวัตกรรมที่ได้จากเทคโนโลยีคอมพิวเตอร์และสามารถนำมาใช้ประโยชน์ เสนอโครงการ ทำการศึกษาเชิงประจักษ์ แล้วสรุปและวิจารณ์ผลภายใต้กรอบแนวคิดการบริการสังคมถึงความสำเร็จ,,
EN-012-211,โครงงานวิศวกรรมคอมพิวเตอร์ 1,1,1(0-3-2),โครงงานและสัมมนา,การดำเนินโครงการวิศวกรรมคอมพิวเตอร์เบื้องต้นให้บรรลุความสำเร็จด้วยตนเองตามรูปแบบกระบวนการออกแบบความคิดที่กำหนดโดยหลักสูตรไว้ การจัดทำเอกสารตามรูปแบบ และการนำเสนอเบื้องต้น มีขอบเขตปัญหาทางด้านการพัฒนาระบบด้วยคอมพิวเตอร์ เกษตรอัจฉริยะ หรือระบบอัตโนมัติที่มีประโยชน์ต่อมหาวิทยาลัย ชุมชนหรือท้องถิ่น,,
EN-012-212,โครงงานวิศวกรรมคอมพิวเตอร์ 2,1,1(0-3-2),โครงงานและสัมมนา,การดำเนินโครงการวิศวกรรมคอมพิวเตอร์ให้บรรลุความสำเร็จเป็นกลุ่ม โดยกระบวนการเป็นไปตามการออกแบบที่อาจารย์ที่ปรึกษาโครงการได้กำหนดไว้ การจัดทำเอกสาร และการนำเสนออย่างมืออาชีพ มีขอบเขตปัญหาทางด้านการพัฒนาระบบด้วยคอมพิวเตอร์ เกษตรอัจฉริยะ ระบบอัตโนมัติ ระบบแอพพลิเคชันหรือเว็บไซต์ที่มีประโยชน์ต่อมหาวิทยาลัย ชุมชนหรือท้องถิ่น,,
